Name,Location,Price,Rating,Rating meaning,Distance from the centre (km),Breakfast,Free cancelation
Bedford Hotel,Camden,561,7.8,Good,1.5 ,-,Free cancellation
Days Inn Hyde Park,Westminster Borough,399,7.4,Good,3.3 ,Breakfast included,-
The Knaresborough by Aura Collection,Kensington and Chelsea,396,7.8,Good,4.6 ,-,-
The Chilworth London Paddington,Westminster Borough,550,7.6,Good,3.6 ,-,-
The Z Hotel City,City of London,456,7.8,Good,1.4 ,-,-
City View Hotel Roman Road,Tower Hamlets,150,3.8,Review score,5.9 ,-,Free cancellation
YOTEL London Shoreditch,Tower Hamlets,457,7.6,Good,5.5 ,-,Free cancellation
Snoozebox Olympic Park,Newham,283,8.0,Very good,8.4 ,-,-
The Cleveland,Westminster Borough,477,8.2,Very good,3.9 ,-,-
"Holiday Inn Express Earls Court, an IHG Hotel",Hammersmith and Fulham,406,8.2,Very good,5.7 ,Breakfast included,-
DoubleTree by Hilton London – Docklands Riverside,Southwark,401,7.9,Good,6.5 ,-,-
Ruby Zoe Hotel London,Kensington and Chelsea,465,8.8,Fabulous,5 ,-,-
Eurotraveller Hotel - Premier - Tower Bridge,Southwark,407,7.5,Good,3.8 ,-,Free cancellation
Thistle London Holborn,Camden,595,8.0,Very good,1.2 ,-,-
Citadines Islington London,Islington,480,8.8,Fabulous,3.9 ,-,-
The Z Hotel Piccadilly,Westminster Borough,514,7.9,Good,0.3,-,-
City Sleeper at Royal National Hotel,Camden,605,8.1,Very good,1.8 ,-,Free cancellation
The Landmark London,Westminster Borough,960,8.9,Fabulous,2.9 ,-,-
The Stafford London,Westminster Borough,1025,9.0,Superb,0.9 ,-,-
Canopy by Hilton London City,City of London,575,8.7,Fabulous,3.6 ,-,-
Aptel East,Tower Hamlets,489,8.6,Fabulous,4.7 ,-,Free cancellation
"Club Quarters Hotel St Paul's, London",City of London,501,7.5,Good,2 ,-,-
Hilton London Wembley,Wembley,367,8.5,Very good,12.1 ,-,-
The Z Hotel Shoreditch,Islington,397,7.8,Good,3.5 ,-,-
The Fitzrovia Belle Hotel,Camden,584,8.2,Very good,1.8 ,Breakfast included,Free cancellation
Milestone Hotel Kensington,Kensington and Chelsea,939,9.4,Superb,4.1 ,-,-
"Signature London, The J Marylebone",Westminster Borough,718,7.9,Good,2.9 ,-,-
Motel One London-Tower Hill,City of London,512,8.5,Very good,3.7 ,-,Free cancellation
"Radisson Blu Edwardian New Providence Wharf Hotel, London",Tower Hamlets,642,8.8,Fabulous,8.5 ,-,-
Beaconsfield Hotel,London,206,5.7,Review score,7.9 ,-,Free cancellation
Eurotraveller Hotel- Express (Elephant & Castle),Southwark,344,7.6,Good,2.8 ,-,Free cancellation
The Dilly,Westminster Borough,975,8.0,Very good,0.6 ,-,-
Victory House Leicester Square,Westminster Borough,679,8.0,Very good,450 m from centre,-,-
"Hux Hotel, Kensington",Kensington and Chelsea,559,8.4,Very good,4.2 ,-,Free cancellation
"St. James' Court, A Taj Hotel, London",Westminster Borough,752,8.5,Very good,1.2 ,Breakfast included,Free cancellation
The ULH,London,270,7.5,Good,7.7 ,-,-
The Station Hotel,Lewisham,278,8.4,Very good,10.7 ,-,Free cancellation
Nobu Hotel London Portman Square,Westminster Borough,1085,8.6,Fabulous,2.3 ,-,-
Andaz London Liverpool Street - a Concept by Hyatt,City of London,700,8.7,Fabulous,3.3 ,-,Free cancellation
Park Grand Paddington Court,Westminster Borough,449,7.0,Good,3.7 ,-,-
Thistle London Trafalgar Square,Westminster Borough,622,8.0,Very good,300 m from centre,-,-
Americana Hotel,Westminster Borough,374,7.1,Good,3 ,Breakfast included,-
Tavistock Hotel,Camden,412,7.5,Good,1.9 ,-,Free cancellation
Gem Fitzrovia Hotel,Westminster Borough,547,7.8,Good,1.9 ,-,-
ibis London Excel-Docklands,Newham,261,7.8,Good,10.4 ,-,-
Ruby Stella Hotel London,Camden,533,,,2.1 ,-,Free cancellation
London Bridge Hotel,Southwark,542,8.6,Fabulous,2.7 ,Breakfast included,-
W12 Rooms,Hammersmith and Fulham,348,8.1,Very good,6.3 ,-,-
Best Western London Highbury,Hackney,326,7.7,Good,7 ,-,-
The Royale Chulan Hyde Park Hotel,Westminster Borough,425,7.4,Good,4.5 ,-,-
Best Western London Highbury,Hackney,326,7.7,Good,7 ,-,-
"Hart Shoreditch Hotel London, Curio Collection by Hilton",Hackney,560,9.0,Superb,3.7 ,-,-
41,Westminster Borough,1221,9.7,Exceptional,1.5 ,-,-
Studio 64,Hackney,421,9.1,Superb,3.4 ,-,Free cancellation
Wilde Aparthotels London Aldgate Tower Bridge,Tower Hamlets,525,9.1,Superb,4.4 ,-,-
ibis Styles London Gloucester Road,Kensington and Chelsea,486,8.0,Very good,4.1 ,-,-
citizenM London Victoria Station,Westminster Borough,746,8.9,Fabulous,1.7 ,-,Free cancellation
ME London by Melia,Westminster Borough,1178,8.5,Very good,0.8 ,-,-
"The Hoxton, Shoreditch",Hackney,641,8.3,Very good,3.7 ,-,Free cancellation
Zedwell Underground Tottenham Court Rd,Camden,472,6.6,Review score,1.1 ,-,-
Zedwell Greenwich,Greenwich,313,7.0,Good,8 ,-,-
"The Hoxton, Southwark",Southwark,769,8.7,Fabulous,1.6 ,-,Free cancellation
NoMad London,Westminster Borough,1490,9.1,Superb,0.8 ,-,-
"The Cumberland, London",Westminster Borough,549,8.0,Very good,2.3 ,-,-
Rhodes Hotel,Westminster Borough,510,7.3,Good,3.3 ,-,Free cancellation
Studios next to Emirates Stadium,Islington,234,6.5,Review score,6 ,-,Free cancellation
Aparthotel Adagio London Stratford,Newham,389,8.9,Fabulous,9.3 ,-,-
Hotel Saint London,City of London,556,8.5,Very good,3.7 ,-,-
Vintry & Mercer,City of London,923,9.4,Superb,2.4 ,-,Free cancellation
Courtyard by Marriott London City Airport,Newham,326,8.6,Fabulous,11.8 ,-,-
Lancaster Gate Hotel,Westminster Borough,491,7.8,Good,3.8 ,-,-
Clayton Hotel Chiswick,Chiswick,368,8.4,Very good,10.6 ,-,-
COMO The Halkin,Westminster Borough,896,9.1,Superb,1.9 ,-,Free cancellation
Hampton by Hilton London Waterloo,Lambeth,600,8.2,Very good,1.5 ,Breakfast included,-
Best Western Chiswick Palace & Suites London,Chiswick,341,8.0,Very good,8.7 ,-,-
"St. James' Court, A Taj Hotel, London",Westminster Borough,752,8.5,Very good,1.2 ,Breakfast included,Free cancellation
The ULH,London,270,7.5,Good,7.7 ,-,-
The Station Hotel,Lewisham,278,8.4,Very good,10.7 ,-,Free cancellation
Nobu Hotel London Portman Square,Westminster Borough,1085,8.6,Fabulous,2.3 ,-,-
Andaz London Liverpool Street - a Concept by Hyatt,City of London,700,8.7,Fabulous,3.3 ,-,Free cancellation
Park Grand Paddington Court,Westminster Borough,449,7.0,Good,3.7 ,-,-
Thistle London Trafalgar Square,Westminster Borough,622,8.0,Very good,300 m from centre,-,-
Americana Hotel,Westminster Borough,374,7.1,Good,3 ,Breakfast included,-
Gem Fitzrovia Hotel,Westminster Borough,547,7.8,Good,1.9 ,-,-
ibis London Excel-Docklands,Newham,261,7.8,Good,10.4 ,-,-
Ruby Stella Hotel London,Camden,533,,,2.1 ,-,Free cancellation
London Bridge Hotel,Southwark,542,8.6,Fabulous,2.7 ,Breakfast included,-
W12 Rooms,Hammersmith and Fulham,348,8.1,Very good,6.3 ,-,-
Best Western London Highbury,Hackney,326,7.7,Good,7 ,-,-
The Royale Chulan Hyde Park Hotel,Westminster Borough,425,7.4,Good,4.5 ,-,-
"Hart Shoreditch Hotel London, Curio Collection by Hilton",Hackney,560,9.0,Superb,3.7 ,-,-
41,Westminster Borough,1221,9.7,Exceptional,1.5 ,-,-
Studio 64,Hackney,421,9.1,Superb,3.4 ,-,Free cancellation
Wilde Aparthotels London Aldgate Tower Bridge,Tower Hamlets,525,9.1,Superb,4.4 ,-,-
ibis Styles London Gloucester Road,Kensington and Chelsea,486,8.0,Very good,4.1 ,-,-
citizenM London Victoria Station,Westminster Borough,746,8.9,Fabulous,1.7 ,-,Free cancellation
ME London by Melia,Westminster Borough,1178,8.5,Very good,0.8 ,-,-
"The Hoxton, Shoreditch",Hackney,641,8.3,Very good,3.7 ,-,Free cancellation
Zedwell Underground Tottenham Court Rd,Camden,472,6.6,Review score,1.1 ,-,-
Zedwell Greenwich,Greenwich,313,7.0,Good,8 ,-,-
The Gyle,Camden,807,8.3,Very good,2.4 ,-,Free cancellation
The Bloomsbury Hotel,Camden,1087,8.9,Fabulous,1.1 ,-,Free cancellation
Corinthia London,Westminster Borough,1978,9.2,Superb,250 m from centre,-,Free cancellation
Hilton London Paddington,Westminster Borough,536,7.4,Good,3.5 ,-,-
"The Westminster London, Curio Collection by Hilton",Westminster Borough,690,8.3,Very good,1.6 ,-,-
Buckle Street Studios by Locke,Tower Hamlets,457,8.5,Very good,4 ,-,-
President Hotel,Camden,439,7.3,Good,1.7 ,-,Free cancellation
"Lost Property St Pauls London, Curio Collection By Hilton",City of London,591,8.7,Fabulous,2 ,-,-
Bedford Corner Hotel,Camden,512,7.7,Good,1.3 ,-,-
Hilton London Bankside,Southwark,623,8.9,Fabulous,1.8 ,-,-
Sloane Square Hotel,Kensington and Chelsea,663,7.8,Good,2.6 ,-,Free cancellation
Bermonds Locke,Southwark,492,8.9,Fabulous,3.5 ,-,-
Thistle London Piccadilly,Westminster Borough,663,8.1,Very good,400 m from centre,-,-
"Holiday Inn Express London Greenwich, an IHG Hotel",Greenwich,584,7.8,Good,9.7 ,Breakfast included,Free cancellation
Grange Clarendon Hotel,Camden,598,7.0,Good,1.4 ,-,Free cancellation
The Z Hotel Strand,Westminster Borough,526,8.5,Very good,450 m from centre,-,-
Hyde Park Executive Apartments,Westminster Borough,359,6.3,Review score,4.1 ,-,Free cancellation
The Marylebone Hotel,Westminster Borough,1040,8.3,Very good,1.9 ,-,Free cancellation
The Z Hotel Soho,Westminster Borough,538,7.5,Good,0.7 ,-,-
Hilton London Olympia,Kensington and Chelsea,448,7.1,Good,5.6 ,-,-
Grange Beauchamp Hotel,Camden,710,7.2,Good,1.5 ,-,Free cancellation
London Court Hotel,Kensington and Chelsea,551,8.0,Very good,4.9 ,-,-
London Marriott Maida Vale,Camden,495,8.2,Very good,5.4 ,-,-
The Z Hotel Holborn,Camden,503,8.1,Very good,1.1 ,-,-
"The Clermont London, Victoria",Westminster Borough,714,8.8,Fabulous,1.8 ,-,-
Hyde Park Executive Apartments,Westminster Borough,359,6.3,Review score,4.1 ,-,Free cancellation
The Marylebone Hotel,Westminster Borough,1040,8.3,Very good,1.9 ,-,Free cancellation
The Z Hotel Soho,Westminster Borough,538,7.5,Good,0.7 ,-,-
Hilton London Olympia,Kensington and Chelsea,448,7.1,Good,5.6 ,-,-
Paddington Court Executive Rooms,Westminster Borough,493,7.3,Good,3.7 ,-,-
London Court Hotel,Kensington and Chelsea,551,8.0,Very good,4.9 ,-,-
1 Hotel Mayfair,Westminster Borough,1210,9.0,Superb,1 ,-,Free cancellation
The Z Hotel Holborn,Camden,503,8.1,Very good,1.1 ,-,-
"The Clermont London, Victoria",Westminster Borough,714,8.8,Fabulous,1.8 ,-,-
Raffles London at The OWO,Westminster Borough,2192,9.6,Exceptional,250 m from centre,-,Free cancellation
The Laslett,Kensington and Chelsea,962,8.7,Fabulous,4.8 ,-,Free cancellation
easyHotel London City Shoreditch,Islington,316,6.8,Review score,3 ,-,-
Dockers Inn,Tower Hamlets,375,8.4,Very good,4.9 ,-,-
nhow London,Islington,608,8.9,Fabulous,3.2 ,-,-
Novotel London West,Hammersmith and Fulham,430,7.4,Good,6.6 ,-,-
"Mornington Hotel London Kensington, BW Premier Collection",Kensington and Chelsea,532,8.2,Very good,4.9 ,-,-
Staycity Aparthotels London Greenwich High Road,Greenwich,430,9.1,Superb,8.3 ,-,-
Morton Hotel,Camden,701,8.0,Very good,1.8 ,-,Free cancellation
Grand Royale London Hyde Park,Westminster Borough,505,6.9,Review score,4.1 ,Breakfast included,-
City Gate Guest House,Tower Hamlets,427,7.2,Good,5.8 ,-,Free cancellation
Thistle London Marble Arch,Westminster Borough,549,7.4,Good,2.2 ,-,-
Aquarius Hotel,Kensington and Chelsea,267,5.6,Review score,4.8 ,-,Free cancellation
Pestana Chelsea Bridge Hotel & SPA,Wandsworth,619,8.2,Very good,3.2 ,-,-
Hilton London Euston,Camden,555,7.2,Good,2.1 ,-,-
Admiral Hardy,Greenwich,547,8.7,Fabulous,8.7 ,-,Free cancellation
NOX Belsize Park,Camden,292,7.1,Good,5.2 ,-,-
The Ampersand Hotel,Kensington and Chelsea,996,8.9,Fabulous,3.6 ,-,Free cancellation
The Grand at Trafalgar Square,Westminster Borough,682,8.1,Very good,100 m from centre,-,-
Hotel Cafe Royal,Westminster Borough,2092,9.3,Superb,0.6 ,-,Free cancellation
The Crescent Hyde Park,Westminster Borough,516,8.0,Very good,3.5 ,-,-
Hilton London Hyde Park,Bayswater,573,7.3,Good,4.2 ,-,-
Hampton By Hilton London Docklands,Newham,320,8.3,Very good,11.7 ,Breakfast included,-
Norfolk Towers Paddington,Westminster Borough,433,7.6,Good,3.2 ,-,-
"Club Quarters Hotel Covent Garden Holborn, London",Camden,619,8.0,Very good,1.2 ,-,-
The Angel of Bow,Tower Hamlets,292,8.0,Very good,7.5 ,-,Free cancellation
Park Plaza London Waterloo,Lambeth,608,8.2,Very good,1.4 ,-,-
Grange Buckingham Hotel,Camden,724,7.6,Good,1.4 ,-,Free cancellation
Canary Riverside Plaza Hotel,Tower Hamlets,800,8.4,Very good,6.9 ,Breakfast included,Free cancellation
Megaro Hotel,Camden,817,8.3,Very good,2.5 ,-,Free cancellation
London Hilton on Park Lane,Westminster Borough,691,7.8,Good,1.6 ,-,-
Lansbury Heritage Hotel,Tower Hamlets,456,8.7,Fabulous,7.8 ,-,-
Pullman London St Pancras,Camden,621,8.4,Very good,2.4 ,-,-
Novotel London Canary Wharf,Tower Hamlets,402,8.4,Very good,7.3 ,-,-
39 Studios,Westminster Borough,461,7.5,Good,4 ,-,-
The Kings Head Hotel,Acton,311,7.3,Good,10.1 ,-,-
Park Plaza Victoria London,Westminster Borough,671,8.2,Very good,1.7 ,-,-
St Athans Hotel,Camden,350,7.3,Good,2 ,-,-
Doubletree By Hilton London - Greenwich,Greenwich,422,8.2,Very good,8.3 ,-,-
Hotel Shepherds Bush London,Hammersmith and Fulham,407,8.1,Very good,6.8 ,-,-
"The Clermont London, Charing Cross",Westminster Borough,763,8.7,Fabulous,250 m from centre,-,-
"Holiday Inn London Bloomsbury, an IHG Hotel",Camden,804,7.9,Good,1.9 ,-,Free cancellation
NOX Belsize Park,Camden,292,7.1,Good,5.2 ,-,-
The Ampersand Hotel,Kensington and Chelsea,996,8.9,Fabulous,3.6 ,-,Free cancellation
