Name,Location,Price,Rating,Rating meaning,Distance from the centre (km),Breakfast,Free cancelation
DoubleTree by Hilton London Victoria,Westminster Borough,647,7.7,Good,1.9 ,-,-
The Carlton Tower Jumeirah,Kensington and Chelsea,1854,8.9,Fabulous,2.4 ,-,Free cancellation
Holmes Hotel London,Westminster Borough,692,8.6,Fabulous,2.5 ,-,-
The Z Hotel Tottenham Court Road,Westminster Borough,573,8.0,Very good,1 ,-,-
"Holiday Inn London - Whitechapel, an IHG Hotel",Tower Hamlets,448,8.2,Very good,4.9 ,-,-
Melia White House Hotel,West End,588,7.8,Good,2.2 ,-,-
Lancaster Hall Hotel,Westminster Borough,517,7.9,Good,3.6 ,-,Free cancellation
"Brown's Hotel, a Rocco Forte Hotel",Westminster Borough,1964,9.0,Superb,1 ,-,Free cancellation
Blue Sapphire Hotel,London,430,8.0,Very good,16.9 ,-,Free cancellation
Henrys Townhouse Marylebone,Westminster Borough,1391,10,Exceptional,2.5 ,Breakfast included,Free cancellation
"The Pond House, Ensuite Rooms - East London Short Let's",Hackney,325,9.3,Superb,7.5 ,-,-
Moxy London Stratford,Newham,450,8.2,Very good,9.6 ,-,-
Three Falcons,Westminster Borough,818,8.5,Very good,3.7 ,Breakfast included,Free cancellation
The Beaumont Hotel,Westminster Borough,1710,9.4,Superb,1.8 ,-,Free cancellation
Marrable's Farringdon Hotel,Islington,537,8.2,Very good,2.4 ,-,-
Sydney House Chelsea,Kensington and Chelsea,524,7.8,Good,3.5 ,-,-
"Holiday Inn London West, an IHG Hotel",Acton,361,7.9,Good,9.5 ,-,-
The Dorchester - Dorchester Collection,Westminster Borough,2104,9.0,Superb,1.7 ,-,Free cancellation
Claridge's,Westminster Borough,2525,9.5,Exceptional,1.5 ,-,Free cancellation
Sloane Square Hotel,Kensington and Chelsea,663,7.8,Good,2.6 ,-,Free cancellation
H10 London Waterloo,Southwark,645,8.4,Very good,1.8 ,-,-
Bermonds Locke,Southwark,492,8.9,Fabulous,3.5 ,-,-
Thistle London Piccadilly,Westminster Borough,663,8.1,Very good,400 m from centre,-,-
"Holiday Inn Express London Greenwich, an IHG Hotel",Greenwich,584,7.8,Good,9.7 ,Breakfast included,Free cancellation
Grange Clarendon Hotel,Camden,598,7.0,Good,1.4 ,-,Free cancellation
Opulence Boutique Hotel,Westminster Borough,491,4.8,Review score,2.4 ,-,Free cancellation
Hyde Park Boutique Hotel,Westminster Borough,433,6.8,Review score,4 ,-,-
The Z Hotel Strand,Westminster Borough,526,8.5,Very good,450 m from centre,-,-
The Marylebone Hotel,Westminster Borough,1040,8.3,Very good,1.9 ,-,Free cancellation
Hotel Cavendish,Camden,473,6.5,Review score,1.7 ,Breakfast included,-
The Z Hotel Soho,Westminster Borough,538,7.5,Good,0.7 ,-,-
Hilton London Olympia,Kensington and Chelsea,448,7.1,Good,5.6 ,-,-
Paddington Court Executive Rooms,Westminster Borough,493,7.3,Good,3.7 ,-,-
Grange Beauchamp Hotel,Camden,710,7.2,Good,1.5 ,-,Free cancellation
London Court Hotel,Kensington and Chelsea,551,8.0,Very good,4.9 ,-,-
London Marriott Maida Vale,Camden,495,8.2,Very good,5.4 ,-,-
1 Hotel Mayfair,Westminster Borough,1210,9.0,Superb,1 ,-,Free cancellation
The Z Hotel Holborn,Camden,503,8.1,Very good,1.1 ,-,-
"The Clermont London, Victoria",Westminster Borough,714,8.8,Fabulous,1.8 ,-,-
The Marble Arch London,Westminster Borough,568,6.3,Review score,2.4 ,-,-
Raffles London at The OWO,Westminster Borough,2192,9.6,Exceptional,250 m from centre,-,Free cancellation
The Laslett,Kensington and Chelsea,962,8.7,Fabulous,4.8 ,-,Free cancellation
Dockers Inn,Tower Hamlets,375,8.4,Very good,4.9 ,-,-
Hyatt Regency London Blackfriars,City of London,711,8.2,Very good,1.7 ,-,-
Doubletree By Hilton London Kensington,Kensington and Chelsea,663,7.3,Good,4.1 ,-,-
Lords Hotel,Westminster Borough,355,6.8,Review score,4.5 ,Breakfast included,-
Central Hoxton Shoreditch,Hackney,421,7.4,Good,4.3 ,-,-
Hyatt Regency London Albert Embankment,Lambeth,610,8.5,Very good,1.8 ,-,-
ibis London Blackfriars,Southwark,465,7.9,Good,1.6 ,-,-
King Solomon Hotel- Golders Green,Golders Green,191,6.0,Review score,9.2 ,-,-
The Langham London,Westminster Borough,1197,9.2,Superb,1.6 ,-,-
"Hotel Indigo London - Kensington, an IHG Hotel",Kensington and Chelsea,643,8.3,Very good,4.7 ,-,-
The Westin London City,City of London,867,8.8,Fabulous,2.3 ,-,-
My Place Hotel,Kensington and Chelsea,380,6.2,Review score,4.9 ,Breakfast included,Free cancellation
Danubius Hotel Regents Park,Westminster Borough,555,8.2,Very good,3.7 ,-,-
The LaLit London - Small Luxury Hotel of the World,Southwark,616,8.5,Very good,3.4 ,-,-
NOX Kensington,Kensington and Chelsea,355,7.4,Good,5.7 ,-,-
Mama Shelter London - Shoreditch,Tower Hamlets,515,8.4,Very good,5.3 ,-,-
W London,Westminster Borough,999,8.6,Fabulous,450 m from centre,-,-
Selina Camden,Camden,404,7.9,Good,4.4 ,-,-
Best Western Swiss Cottage Hotel,Camden,466,7.9,Good,5.2 ,-,-
"Page8, Page Hotels",Westminster Borough,906,9.0,Superb,250 m from centre,-,-
Novotel London Greenwich,Greenwich,436,7.5,Good,8.6 ,-,-
The Sanctuary House Hotel,Westminster Borough,755,8.6,Fabulous,0.9 ,-,-
Albro House Hotel,Westminster Borough,398,7.7,Good,3.2 ,Breakfast included,-
The Academy - Small Luxury Hotels of the World,Camden,843,8.1,Very good,1.5 ,Breakfast included,-
Mornington Victor Hotel London Belgravia,Westminster Borough,573,8.0,Very good,2 ,-,-
Admiral Hotel at Park Avenue,Westminster Borough,469,6.9,Review score,3.2 ,Breakfast included,-
ibis London Shepherds Bush - Hammersmith,Hammersmith and Fulham,418,7.9,Good,6.4 ,-,-
The Eaton Townhouse,Westminster Borough,525,7.5,Good,1.7 ,-,-
The Resident Soho,Westminster Borough,736,8.9,Fabulous,0.9 ,-,-
The Mad Hatter Hotel,Southwark,555,8.9,Fabulous,1.6 ,Breakfast included,-
Residence Inn by Marriott London Kensington,Kensington and Chelsea,574,7.9,Good,5.4 ,Breakfast included,-
Quality Hotel Hampstead,Camden,465,8.0,Very good,6 ,Breakfast included,-
Nobu Hotel London Shoreditch,Hackney,700,8.5,Very good,3.7 ,-,-
Sanderson London,Westminster Borough,769,8.3,Very good,1.3 ,-,-
Pelican London Hotel and Residence,Wandsworth,334,7.7,Good,9.7 ,-,-
Mondrian London Shoreditch,Hackney,673,8.6,Fabulous,3.7 ,-,-
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel",Westminster Borough,723,7.7,Good,400 m from centre,-,-
"The Trafalgar St. James, London Curio collection by Hilton",Westminster Borough,1041,8.9,Fabulous,100 m from centre,-,-
Hyatt Regency London Blackfriars,City of London,711,8.2,Very good,1.7 ,-,-
Doubletree By Hilton London Kensington,Kensington and Chelsea,663,7.3,Good,4.1 ,-,-
Lords Hotel,Westminster Borough,355,6.8,Review score,4.5 ,Breakfast included,-
Central Hoxton Shoreditch,Hackney,421,7.4,Good,4.3 ,-,-
Hyatt Regency London Albert Embankment,Lambeth,610,8.5,Very good,1.8 ,-,-
ibis London Blackfriars,Southwark,465,7.9,Good,1.6 ,-,-
King Solomon Hotel- Golders Green,Golders Green,191,6.0,Review score,9.2 ,-,-
The Langham London,Westminster Borough,1197,9.2,Superb,1.6 ,-,-
"Hotel Indigo London - Kensington, an IHG Hotel",Kensington and Chelsea,643,8.3,Very good,4.7 ,-,-
The Westin London City,City of London,867,8.8,Fabulous,2.3 ,-,-
Citadines South Kensington London,Kensington and Chelsea,610,7.9,Good,4 ,-,-
My Place Hotel,Kensington and Chelsea,380,6.2,Review score,4.9 ,Breakfast included,Free cancellation
"Montcalm East, Autograph Collection",Hackney,681,8.6,Fabulous,3.5 ,-,-
Aspen Hotel,Westminster Borough,457,7.3,Good,3.3 ,-,-
Balmoral House Hotel,Westminster Borough,481,7.6,Good,3.3 ,Breakfast included,-
Mabledon Court Hotel,Camden,368,6.4,Review score,2.3 ,Breakfast included,-
Heeton Concept Hotel – Luma Hammersmith,Hammersmith and Fulham,515,7.8,Good,7.1 ,-,-
Blandford Hotel,Westminster Borough,583,7.5,Good,2.5 ,Breakfast included,-
The Omega Hotel,Westminster Borough,547,7.7,Good,3.2 ,Breakfast included,-
KX Rooms Kings Cross,Camden,268,6.6,Review score,2.4 ,-,-
Forest House Hotel,London,295,8.2,Very good,11.7 ,-,-
Pembridge Palace Hotel,Westminster Borough,503,8.0,Very good,4.5 ,-,-
The Exhibitionist Hotel,Kensington and Chelsea,676,8.4,Very good,3.7 ,-,-
54 Queen's Gate Hotel,Kensington and Chelsea,688,8.7,Fabulous,3.8 ,-,-
Sheraton Grand London Park Lane,Westminster Borough,793,8.2,Very good,1.4 ,-,-
The Guardsman - Preferred Hotels and Resorts,Westminster Borough,973,9.0,Superb,1.2 ,-,-
Baglioni Hotel London - The Leading Hotels of the World,Kensington and Chelsea,1327,8.8,Fabulous,4 ,Breakfast included,-
Sofitel London St James,Westminster Borough,1262,9.1,Superb,0.3,-,-
Montagu Place Hotel,Westminster Borough,734,8.0,Very good,2.5 ,-,-
La Suite West - Hyde Park,Westminster Borough,650,7.8,Good,4.1 ,-,-
"Radisson Blu Edwardian Mercer Street Hotel, London",Camden,905,8.8,Fabulous,0.7 ,-,-
Hatton Homes - Thackeray Avenue,London,158,,,10.7 ,-,-
"Holiday Inn London Camden Lock, an IHG Hotel",Camden,674,8.2,Very good,3.9 ,-,-
Sloane Place,Kensington and Chelsea,855,8.6,Fabulous,2.8 ,-,-
St Giles London – A St Giles Hotel,Camden,439,6.9,Review score,1.2 ,-,-
Queens Hotel,Hackney,430,7.0,Good,6.8 ,Breakfast included,-
"11 Cadogan Gardens, The Apartments and The Chelsea Townhouse by Iconic Luxury Hotels",Kensington and Chelsea,840,8.5,Very good,2.7 ,-,-
Millennium & Copthorne Hotels at Chelsea Football Club,Hammersmith and Fulham,504,7.8,Good,5.2 ,-,-
Karma Sanctum Soho Hotel,Westminster Borough,801,8.4,Very good,0.9 ,-,-
Hotel 63,Westminster Borough,605,8.3,Very good,3.4 ,Breakfast included,Free cancellation
The Shoreditch Inn,Tower Hamlets,555,7.7,Good,4.1 ,Breakfast included,-
Marlin Apartments Commercial Road - Limehouse,Tower Hamlets,432,7.8,Good,5.9 ,-,Free cancellation
The Henrietta Hotel,Westminster Borough,1013,8.9,Fabulous,450 m from centre,-,-
StayInn Holborn,Camden,663,7.0,Good,2 ,-,-
Althoff St James's Hotel & Club London,Westminster Borough,939,8.0,Very good,0.9 ,-,-
Marylebone Inn,Westminster Borough,644,8.2,Very good,2.7 ,-,-
DoubleTree by Hilton London – Docklands Riverside,Southwark,401,7.9,Good,6.5 ,-,-
The Athenaeum Hotel & Residences,Westminster Borough,1037,8.5,Very good,1.4 ,-,-
54 Queen's Gate Hotel,Kensington and Chelsea,765,8.7,Fabulous,3.8 ,-,-
Thistle London Bloomsbury Park,Camden,432,6.9,Review score,1.5 ,-,-
Flemings Mayfair - Small Luxury Hotel of the World,Westminster Borough,972,8.7,Fabulous,1.2 ,-,-
NOX Edgware Road,Westminster Borough,442,8.0,Very good,3.6 ,-,-
Seraphine Hammersmith Hotel,Hammersmith and Fulham,526,7.9,Good,7.2 ,-,-
Admiral Hotel at Park Avenue,Westminster Borough,521,6.9,Review score,3.2 ,Breakfast included,-
Argo Hotel - Kings Cross,Camden,608,7.8,Good,2.4 ,-,-
Ashburn Hotel,Kensington and Chelsea,654,8.0,Very good,4.2 ,-,-
KingswayPark Hotel at Park Avenue,Westminster Borough,428,7.2,Good,3.2 ,Breakfast included,-
Native Hyde Park,Westminster Borough,667,7.6,Good,3.4 ,-,-
44 Curzon Street by Mansley,Westminster Borough,771,8.4,Very good,1.3 ,-,-
Sonder The Voyage,Westminster Borough,564,7.6,Good,3.3 ,-,Free cancellation
Grand Plaza Serviced Apartments,Westminster Borough,513,7.7,Good,4.4 ,-,-
Forest House Hotel,London,319,8.2,Very good,11.7 ,-,-
NOX West End Lane I,Camden,282,7.2,Good,6.7 ,-,-
Astor Court Hotel,Westminster Borough,542,8.3,Very good,1.7 ,Breakfast included,Free cancellation
NOX West Hampstead,Camden,324,8.1,Very good,6.6 ,-,-
"The Dixon, Tower Bridge, Autograph Collection",Southwark,736,8.6,Fabulous,3.6 ,-,-
Chateau Denmark,Westminster Borough,955,8.7,Fabulous,0.9 ,-,-
Snoozebox Olympic Park,Newham,283,8.0,Very good,8.4 ,-,-
JW Marriott Grosvenor House London,Westminster Borough,962,8.2,Very good,1.9 ,-,-
Karma Sanctum Soho Hotel,Westminster Borough,801,8.4,Very good,0.9 ,-,-
Hotel 63,Westminster Borough,605,8.3,Very good,3.4 ,Breakfast included,Free cancellation
The Cleveland,Westminster Borough,477,8.2,Very good,3.9 ,-,-
Marlin Apartments Commercial Road - Limehouse,Tower Hamlets,432,7.8,Good,5.9 ,-,Free cancellation
StayInn Holborn,Camden,663,7.0,Good,2 ,-,-
Althoff St James's Hotel & Club London,Westminster Borough,939,8.0,Very good,0.9 ,-,-
"Holiday Inn Express Earls Court, an IHG Hotel",Hammersmith and Fulham,406,8.2,Very good,5.7 ,Breakfast included,-
Marylebone Inn,Westminster Borough,644,8.2,Very good,2.7 ,-,-
DoubleTree by Hilton London – Docklands Riverside,Southwark,401,7.9,Good,6.5 ,-,-
The Athenaeum Hotel & Residences,Westminster Borough,1037,8.5,Very good,1.4 ,-,-
Roseate House London,Westminster Borough,809,8.5,Very good,3.5 ,-,-
Thistle London Bloomsbury Park,Camden,432,6.9,Review score,1.5 ,-,-
Flemings Mayfair - Small Luxury Hotel of the World,Westminster Borough,972,8.7,Fabulous,1.2 ,-,-
NOX Edgware Road,Westminster Borough,442,8.0,Very good,3.6 ,-,-
The Standard London,Camden,828,8.6,Fabulous,2.4 ,-,-
The House of Toby,Camden,631,7.6,Good,2.4 ,-,-
Seraphine Hammersmith Hotel,Hammersmith and Fulham,526,7.9,Good,7.2 ,-,-
City View Hotel Stratford,Newham,229,4.5,Review score,9.9 ,Breakfast included,Free cancellation
Argo Hotel - Kings Cross,Camden,608,7.8,Good,2.4 ,-,-
Thistle London Bloomsbury Park,Camden,432,6.9,Review score,1.5 ,-,-
Flemings Mayfair - Small Luxury Hotel of the World,Westminster Borough,972,8.7,Fabulous,1.2 ,-,-
NOX Edgware Road,Westminster Borough,442,8.0,Very good,3.6 ,-,-
The Standard London,Camden,828,8.6,Fabulous,2.4 ,-,-
The House of Toby,Camden,631,7.6,Good,2.4 ,-,-
Seraphine Hammersmith Hotel,Hammersmith and Fulham,526,7.9,Good,7.2 ,-,-
City View Hotel Stratford,Newham,229,4.5,Review score,9.9 ,Breakfast included,Free cancellation
Argo Hotel - Kings Cross,Camden,608,7.8,Good,2.4 ,-,-
KingswayPark Hotel at Park Avenue,Westminster Borough,428,7.2,Good,3.2 ,Breakfast included,-
Native Hyde Park,Westminster Borough,667,7.6,Good,3.4 ,-,-
44 Curzon Street by Mansley,Westminster Borough,771,8.4,Very good,1.3 ,-,-
Sonder The Voyage,Westminster Borough,564,7.6,Good,3.3 ,-,Free cancellation
Grand Plaza Serviced Apartments,Westminster Borough,513,7.7,Good,4.4 ,-,-
NOX West End Lane I,Camden,282,7.2,Good,6.7 ,-,-
Best Western Northfields Ealing Hotel,Ealing,450,8.1,Very good,13 ,-,-
The Fox & Goose Hotel,Ealing,534,9.1,Superb,12 ,Breakfast included,-
"St. Ermin's Hotel, Autograph Collection",Westminster Borough,1011,9.1,Superb,1 ,-,-
St George's Hotel - Wembley,Wembley,467,7.2,Good,12.2 ,-,-
The W14 Kensington,Hammersmith and Fulham,448,7.6,Good,6 ,-,-
Hotel Xanadu,Ealing,399,8.2,Very good,12.3 ,-,-
Fraser Suites Queens Gate,Kensington and Chelsea,693,7.6,Good,3.9 ,-,-
Kensington Rooms - Warwick Road,Kensington and Chelsea,447,7.6,Good,5.2 ,-,Free cancellation
Park Avenue Inn Craven London Hyde Park,Westminster Borough,391,4.9,Review score,3.6 ,-,Free cancellation
Queens Park Hotel,Westminster Borough,442,5.7,Review score,4 ,-,Free cancellation
The Jade,Kensington and Chelsea,584,7.8,Good,4.7 ,-,-
NOX West Hampstead,Camden,324,8.1,Very good,6.6 ,-,-
"The Dixon, Tower Bridge, Autograph Collection",Southwark,736,8.6,Fabulous,3.6 ,-,-
Chateau Denmark,Westminster Borough,955,8.7,Fabulous,0.9 ,-,-
JW Marriott Grosvenor House London,Westminster Borough,962,8.2,Very good,1.9 ,-,-
Karma Sanctum Soho Hotel,Westminster Borough,801,8.4,Very good,0.9 ,-,-
Hotel 63,Westminster Borough,605,8.3,Very good,3.4 ,Breakfast included,Free cancellation
Marlin Apartments Commercial Road - Limehouse,Tower Hamlets,432,7.8,Good,5.9 ,-,Free cancellation
The Henrietta Hotel,Westminster Borough,1013,8.9,Fabulous,450 m from centre,-,-
StayInn Holborn,Camden,663,7.0,Good,2 ,-,-
Althoff St James's Hotel & Club London,Westminster Borough,939,8.0,Very good,0.9 ,-,-
Marylebone Inn,Westminster Borough,644,8.2,Very good,2.7 ,-,-
The Athenaeum Hotel & Residences,Westminster Borough,1037,8.5,Very good,1.4 ,-,-
Roseate House London,Westminster Borough,809,8.5,Very good,3.5 ,-,-
Thistle London Bloomsbury Park,Camden,432,6.9,Review score,1.5 ,-,-
Flemings Mayfair - Small Luxury Hotel of the World,Westminster Borough,972,8.7,Fabulous,1.2 ,-,-
NOX Edgware Road,Westminster Borough,442,8.0,Very good,3.6 ,-,-
The Standard London,Camden,828,8.6,Fabulous,2.4 ,-,-
The House of Toby,Camden,631,7.6,Good,2.4 ,-,-
Seraphine Hammersmith Hotel,Hammersmith and Fulham,526,7.9,Good,7.2 ,-,-
City View Hotel Stratford,Newham,229,4.5,Review score,9.9 ,Breakfast included,Free cancellation
Argo Hotel - Kings Cross,Camden,608,7.8,Good,2.4 ,-,-
Ashburn Hotel,Kensington and Chelsea,654,8.0,Very good,4.2 ,-,-
KingswayPark Hotel at Park Avenue,Westminster Borough,428,7.2,Good,3.2 ,Breakfast included,-
Native Hyde Park,Westminster Borough,667,7.6,Good,3.4 ,-,-
44 Curzon Street by Mansley,Westminster Borough,771,8.4,Very good,1.3 ,-,-
Best Western Northfields Ealing Hotel,Ealing,450,8.1,Very good,13 ,-,-
The Fox & Goose Hotel,Ealing,534,9.1,Superb,12 ,Breakfast included,-
"St. Ermin's Hotel, Autograph Collection",Westminster Borough,1011,9.1,Superb,1 ,-,-
St George's Hotel - Wembley,Wembley,467,7.2,Good,12.2 ,-,-
The W14 Kensington,Hammersmith and Fulham,448,7.6,Good,6 ,-,-
Hotel Xanadu,Ealing,399,8.2,Very good,12.3 ,-,-
Fraser Suites Queens Gate,Kensington and Chelsea,693,7.6,Good,3.9 ,-,-
Kensington Rooms - Warwick Road,Kensington and Chelsea,447,7.6,Good,5.2 ,-,Free cancellation
Park Avenue Inn Craven London Hyde Park,Westminster Borough,391,4.9,Review score,3.6 ,-,Free cancellation
Queens Park Hotel,Westminster Borough,442,5.7,Review score,4 ,-,Free cancellation
The Jade,Kensington and Chelsea,584,7.8,Good,4.7 ,-,-
London Marriott Hotel County Hall,Lambeth,1094,8.4,Very good,0.9 ,-,-
Leigh House Hotel,Camden,538,7.3,Good,2.1 ,-,-
Euro Hotel,Camden,762,8.0,Very good,2.1 ,Breakfast included,-
Kip Hotel,Hackney,459,7.4,Good,6.7 ,-,-
Park Grand London Lancaster Gate,Westminster Borough,660,7.3,Good,3.7 ,-,-
"The Capital Hotel, Apartments & Townhouse",Kensington and Chelsea,899,8.3,Very good,2.5 ,-,-
"Holiday Inn Express London Stratford, an IHG Hotel",Newham,362,8.4,Very good,9.1 ,Breakfast included,-
Best Western Corona Hotel,Westminster Borough,619,7.3,Good,2.1 ,-,-
St. Pancras Renaissance Hotel London,Camden,919,7.8,Good,2.5 ,-,-
City Lodge,Islington,304,7.0,Good,3.1 ,-,-
The Leonard Hotel,Westminster Borough,619,7.6,Good,2.2 ,-,-
easyHotel Victoria,Westminster Borough,327,5.7,Review score,2 ,-,-
Ealing Residency,Ealing,362,9.2,Superb,12.8 ,-,Free cancellation
Garden Court Hotel,Westminster Borough,625,7.5,Good,4.4 ,Breakfast included,-
The ULH,London,270,7.5,Good,7.7 ,-,-
The Queens Gate Hotel,Kensington and Chelsea,836,8.3,Very good,3.8 ,-,-
"Huttons Hotel, Victoria London",Westminster Borough,646,7.0,Good,2 ,-,-
Hotel Olympia,Kensington and Chelsea,240,4.3,Review score,5 ,-,-
The Goodenough Hotel London,Camden,903,8.0,Very good,2.1 ,-,-
Marlin Apartments London Bridge - Empire Square,Southwark,554,7.6,Good,2.7 ,-,Free cancellation
The Goring,Westminster Borough,1510,9.2,Superb,1.7 ,-,-
Dukes London,Westminster Borough,1316,8.3,Very good,0.8 ,-,-
The Franklin London - Starhotels Collezione,Kensington and Chelsea,1152,8.3,Very good,3.1 ,-,-
City London Hotel,Southwark,364,7.5,Good,2 ,-,-
Malmaison London,Islington,534,8.1,Very good,2.4 ,-,-
The Portico Hotel,Westminster Borough,694,7.9,Good,2.2 ,-,-
NOX Waterloo,Lambeth,465,8.2,Very good,1.3 ,-,-
Amber Residence Aparthotel,Westminster Borough,641,7.2,Good,2.4 ,-,-
The Pelham London - Starhotels Collezione,Kensington and Chelsea,1020,8.3,Very good,3.6 ,-,-
Cheval Gloucester Park at Kensington,Kensington and Chelsea,1267,9.3,Superb,4.2 ,-,-
Centel - Excellent Stay in London Zone 1,Southwark,316,6.0,Review score,3.1 ,-,Free cancellation
Sleepy Joes,Hackney,958,8.9,Fabulous,3.8 ,-,-
The Mandrake,Westminster Borough,1517,8.5,Very good,1.3 ,-,-
L'oscar London,Camden,1157,9.3,Superb,1.3 ,-,-
The Rookery,Islington,746,9.2,Superb,2.2 ,-,Free cancellation
Cheval Three Quays at The Tower of London,City of London,1378,9.4,Superb,3.3 ,-,-
King garden hotel,Kensington and Chelsea,281,3.3,Review score,3.8 ,-,Free cancellation
New Market Ale House,Camden,244,3.8,Review score,4 ,-,Free cancellation
The Abbey Notting Hill,Kensington and Chelsea,433,7.7,Good,4.8 ,-,-
The Sumner Hotel,Westminster Borough,571,7.4,Good,2.5 ,-,Free cancellation
Collingham Serviced Apartments,Kensington and Chelsea,816,8.8,Fabulous,4.5 ,-,-
"The Park Tower Knightsbridge, a Luxury Collection Hotel, London",Westminster Borough,972,7.5,Good,2.3 ,-,-
Angel Townhouse,Islington,565,8.1,Very good,4.1 ,-,-
Dao by Dorsett West London,Hammersmith and Fulham,664,8.4,Very good,6.7 ,-,-
Hampton By Hilton London City,Tower Hamlets,852,8.5,Very good,4.1 ,Breakfast included,-
St. David's Hotels Paddington,Westminster Borough,392,7.0,Good,3.3 ,-,-
1 Lexham Gardens Hotel,Kensington and Chelsea,341,6.1,Review score,4.6 ,-,-
"The Biltmore Mayfair, LXR Hotels & Resorts",Westminster Borough,1473,8.9,Fabulous,1.7 ,-,-
Beaufort House - Knightsbridge,Kensington and Chelsea,1052,9.2,Superb,2.8 ,-,-
The Gore London - Starhotels Collezione,Kensington and Chelsea,947,8.2,Very good,3.7 ,-,-
The Darlington Hyde Park,Westminster Borough,540,8.1,Very good,3.2 ,Breakfast included,Free cancellation
Marlin Waterloo,Lambeth,604,8.0,Very good,1.4 ,-,Free cancellation
The Adria,Kensington and Chelsea,978,9.1,Superb,3.9 ,-,-
Oliver Plaza Hotel,Kensington and Chelsea,736,8.1,Very good,5 ,-,-
One Aldwych,Westminster Borough,1683,9.4,Superb,0.8 ,-,-
Hotel Lily,Hammersmith and Fulham,202,4.2,Review score,5.4 ,-,-
The J Hyde Park - A Park Avenue Hotel,Westminster Borough,682,7.1,Good,4.4 ,-,-
The Queens Gate Hotel,Kensington and Chelsea,836,8.3,Very good,3.8 ,-,-
"Huttons Hotel, Victoria London",Westminster Borough,646,7.0,Good,2 ,-,-
Hotel Olympia,Kensington and Chelsea,240,4.3,Review score,5 ,-,-
The Goodenough Hotel London,Camden,903,8.0,Very good,2.1 ,-,-
Marlin Apartments London Bridge - Empire Square,Southwark,554,7.6,Good,2.7 ,-,Free cancellation
The Goring,Westminster Borough,1510,9.2,Superb,1.7 ,-,-
Dukes London,Westminster Borough,1316,8.3,Very good,0.8 ,-,-
Dukes London,Westminster Borough,1316,8.3,Very good,0.8 ,-,-
The Franklin London - Starhotels Collezione,Kensington and Chelsea,1152,8.3,Very good,3.1 ,-,-
City London Hotel,Southwark,364,7.5,Good,2 ,-,-
Malmaison London,Islington,534,8.1,Very good,2.4 ,-,-
The Portico Hotel,Westminster Borough,694,7.9,Good,2.2 ,-,-
NOX Waterloo,Lambeth,465,8.2,Very good,1.3 ,-,-
Amber Residence Aparthotel,Westminster Borough,641,7.2,Good,2.4 ,-,-
The Pelham London - Starhotels Collezione,Kensington and Chelsea,1020,8.3,Very good,3.6 ,-,-
Cheval Gloucester Park at Kensington,Kensington and Chelsea,1267,9.3,Superb,4.2 ,-,-
Centel - Excellent Stay in London Zone 1,Southwark,316,6.0,Review score,3.1 ,-,Free cancellation
Cheval Knightsbridge,Kensington and Chelsea,1306,9.0,Superb,2.8 ,-,-
Arch Hotel,Islington,507,6.9,Review score,6.3 ,-,-
Sleepy Joes,Hackney,958,8.9,Fabulous,3.8 ,-,-
The Mandrake,Westminster Borough,1517,8.5,Very good,1.3 ,-,-
L'oscar London,Camden,1157,9.3,Superb,1.3 ,-,-
The Rookery,Islington,746,9.2,Superb,2.2 ,-,Free cancellation
Cheval Three Quays at The Tower of London,City of London,1378,9.4,Superb,3.3 ,-,-
King garden hotel,Kensington and Chelsea,281,3.3,Review score,3.8 ,-,Free cancellation
New Market Ale House,Camden,244,3.8,Review score,4 ,-,Free cancellation
The Abbey Notting Hill,Kensington and Chelsea,433,7.7,Good,4.8 ,-,-
Farringdon Laceby apartments,Islington,821,8.4,Very good,2.2 ,-,-
Argyle Square Hotel,Camden,605,6.9,Review score,2.5 ,-,-
Manor House London,London,181,6.4,Review score,11.6 ,-,-
Sanctum Regent's Park,Westminster Borough,990,9.0,Superb,4.2 ,-,-
The Brookmill,Lewisham,326,8.7,Fabulous,8.4 ,-,-
The Portico Hotel,Westminster Borough,694,7.9,Good,2.2 ,-,-
NOX Waterloo,Lambeth,465,8.2,Very good,1.3 ,-,-
Amber Residence Aparthotel,Westminster Borough,641,7.2,Good,2.4 ,-,-
The Pelham London - Starhotels Collezione,Kensington and Chelsea,1020,8.3,Very good,3.6 ,-,-
Cheval Gloucester Park at Kensington,Kensington and Chelsea,1267,9.3,Superb,4.2 ,-,-
Cheval Knightsbridge,Kensington and Chelsea,1306,9.0,Superb,2.8 ,-,-
Sleepy Joes,Hackney,958,8.9,Fabulous,3.8 ,-,-
The Melita,Westminster Borough,693,8.1,Very good,2.1 ,-,-
London comfy doubles,London,315,7.2,Good,9.9 ,-,-
L'oscar London,Camden,1157,9.3,Superb,1.3 ,-,-
The Rookery,Islington,746,9.2,Superb,2.2 ,-,Free cancellation
Cheval Three Quays at The Tower of London,City of London,1378,9.4,Superb,3.3 ,-,-
Hatton Garden Hotel,Camden,522,8.0,Very good,1.9 ,-,-
Sanctum Regent's Park,Westminster Borough,911,9.0,Superb,4.2 ,-,-
Melbourne House Hotel,Westminster Borough,473,8.2,Very good,2 ,-,-
The Abbey Notting Hill,Kensington and Chelsea,433,7.7,Good,4.8 ,-,-
Argyle Square Hotel,Camden,605,6.9,Review score,2.5 ,-,-
Manor House London,London,181,6.4,Review score,11.6 ,-,-
