Price,Outbound Time,Outbound hours,Return Time,Return hours,Stops
155,18:20 – 22:40,6h 20m,06:50 – 13:20,4h 30m,1 stop
168,15:00 – 17:20,4h 20m,06:45 – 16:20,7h 35m,1 stop
119,17:45 – 21:05,5h 20m,16:10 – 20:50,2h 40m,1 stop
128,15:20 – 20:55,7h 35m,08:00 – 12:45,2h 45m,1 stop
174,13:40 – 16:25,4h 45m,06:50 – 13:20,4h 30m,1 stop
129,09:00 – 17:20,10h 20m,06:30 – 14:05,5h 35m,1 stop
99,13:40 – 21:35,9h 55m,15:55 – 20:30,2h 35m,1 stop
174,13:40 – 16:40,5h 00m,06:50 – 13:20,4h 30m,1 stop
168,06:15 – 07:20,3h 05m,13:35 – 21:15,5h 40m,direct
167,06:30 – 08:55,4h 25m,06:40 – 14:25,5h 45m,1 stop
183,05:35 – 08:15,4h 40m,18:40 – 23:20,2h 40m,1 stop
179,13:30 – 17:05,5h 35m,15:55 – 20:30,2h 35m,1 stop
147,14:45 – 22:00,9h 15m,06:30 – 14:05,5h 35m,1 stop
160,17:45 – 21:20,5h 35m,06:40 – 14:25,5h 45m,1 stop
147,15:50 – 19:30,5h 40m,15:55 – 20:30,2h 35m,1 stop
165,14:45 – 22:00,9h 15m,08:00 – 12:45,2h 45m,1 stop
174,06:00 – 09:40,5h 40m,06:50 – 13:20,4h 30m,1 stop
132,17:45 – 21:05,5h 20m,15:55 – 20:30,2h 35m,1 stop
150,18:20 – 22:55,6h 35m,08:00 – 12:45,2h 45m,1 stop
187,13:40 – 16:40,5h 00m,08:00 – 12:45,2h 45m,1 stop
167,15:50 – 19:30,5h 40m,06:40 – 14:25,5h 45m,1 stop
213,06:30 – 08:55,4h 25m,18:40 – 23:20,2h 40m,1 stop
118,11:00 – 22:00,13h 00m,06:30 – 14:05,5h 35m,1 stop
165,23:55 – 00:45+1,2h 50m,10:20 – 17:40,5h 20m,direct
143,05:35 – 08:15,4h 40m,06:30 – 16:20,7h 50m,1 stop
158,18:20 – 22:55,6h 35m,16:10 – 20:50,2h 40m,1 stop
142,08:05 – 16:15,10h 10m,08:00 – 12:45,2h 45m,1 stop
143,09:10 – 16:35,9h 25m,06:30 – 14:05,5h 35m,1 stop
180,09:00 – 17:20,10h 20m,18:40 – 23:20,2h 40m,1 stop
107,15:20 – 00:15+1,10h 55m,16:10 – 20:50,2h 40m,1 stop
199,19:30 – 22:10,4h 40m,17:45 – 23:55,4h 10m,1 stop
206,17:45 – 21:20,5h 35m,18:40 – 23:20,2h 40m,1 stop
220,17:15 – 18:10,2h 55m,10:15 – 18:35,6h 20m,direct
198,19:30 – 22:10,4h 40m,17:30 – 23:55,4h 25m,1 stop
174,13:40 – 18:40,7h 00m,06:50 – 13:20,4h 30m,1 stop
129,09:00 – 17:20,10h 20m,06:30 – 16:20,7h 50m,1 stop
167,06:30 – 08:55,4h 25m,13:55 – 23:40,7h 45m,1 stop
182,15:50 – 18:40,4h 50m,08:00 – 12:45,2h 45m,1 stop
157,17:15 – 18:10,2h 55m,10:20 – 21:55,9h 35m,direct
167,11:10 – 16:00,6h 50m,06:40 – 14:25,5h 45m,1 stop
186,05:35 – 08:15,4h 40m,17:20 – 23:59,4h 39m,1 stop
