Price,Outbound Time,Outbound hours,Return Time,Return hours,Stops
275,13:40 – 16:25,4h 45m,10:50 – 22:45,9h 55m,1 stop
249,17:45 – 21:20,5h 35m,09:55 – 23:35,11h 40m,1 stop
201,21:40 – 08:15+1,12h 35m,13:35 – 21:15,5h 40m,1 stop
325,13:40 – 16:25,4h 45m,18:00 – 01:15+1,5h 15m,1 stop
246,13:40 – 17:00,5h 20m,09:30 – 23:55,12h 25m,1 stop
245,06:00 – 16:25,12h 25m,16:30 – 23:55,5h 25m,1 stop
234,06:30 – 17:40,13h 10m,06:40 – 14:25,5h 45m,1 stop
241,06:30 – 08:55,4h 25m,18:40 – 10:35+1,13h 55m,1 stop
325,13:40 – 16:40,5h 00m,18:00 – 01:15+1,5h 15m,1 stop
268,06:30 – 08:55,4h 25m,10:20 – 23:40,11h 20m,1 stop
249,13:40 – 18:40,7h 00m,11:15 – 23:55,10h 40m,1 stop
247,11:10 – 19:30,10h 20m,13:55 – 23:40,7h 45m,1 stop
242,07:00 – 17:55,12h 55m,06:40 – 14:25,5h 45m,1 stop
261,17:45 – 21:20,5h 35m,10:20 – 23:40,11h 20m,1 stop
259,11:00 – 19:05,10h 05m,08:25 – 16:20,5h 55m,1 stop
257,15:50 – 19:30,5h 40m,09:55 – 23:35,11h 40m,1 stop
239,13:30 – 17:05,5h 35m,18:10 – 09:40+1,13h 30m,1 stop
318,14:45 – 22:00,9h 15m,18:10 – 00:40+1,4h 30m,1 stop
241,11:10 – 16:00,6h 50m,20:30 – 10:35+1,12h 05m,1 stop
261,06:00 – 10:25,6h 25m,11:15 – 23:55,10h 40m,1 stop
325,06:00 – 09:40,5h 40m,18:00 – 01:15+1,5h 15m,1 stop
276,02:55 – 11:15,10h 20m,06:30 – 14:05,5h 35m,1 stop
250,06:30 – 08:55,4h 25m,21:05 – 10:50+1,11h 45m,1 stop
244,17:15 – 18:10,2h 55m,21:00 – 13:55+1,14h 55m,direct
244,17:15 – 18:10,2h 55m,21:00 – 13:55+1,14h 55m,direct
256,19:30 – 22:10,4h 40m,07:25 – 22:45,13h 20m,1 stop
221,02:55 – 15:30,14h 35m,06:50 – 13:20,4h 30m,1 stop
268,15:50 – 19:30,5h 40m,10:20 – 23:40,11h 20m,1 stop
242,17:45 – 21:20,5h 35m,21:05 – 10:50+1,11h 45m,1 stop
242,06:15 – 07:15,3h 00m,21:20 – 10:35+1,11h 15m,direct
257,11:10 – 16:00,6h 50m,09:55 – 23:35,11h 40m,1 stop
251,06:00 – 10:40,6h 40m,09:30 – 23:55,12h 25m,1 stop
339,06:00 – 08:40,4h 40m,17:10 – 01:15+1,6h 05m,1 stop
330,06:00 – 08:40,4h 40m,13:45 – 22:45,7h 00m,1 stop
340,06:00 – 08:40,4h 40m,17:10 – 01:15+1,6h 05m,1 stop
331,06:00 – 08:40,4h 40m,13:45 – 22:45,7h 00m,1 stop
250,15:50 – 19:30,5h 40m,21:05 – 10:50+1,11h 45m,1 stop
268,06:30 – 08:55,4h 25m,19:05 – 10:50+1,13h 45m,1 stop
268,11:10 – 16:00,6h 50m,10:20 – 23:40,11h 20m,1 stop
336,13:40 – 16:25,4h 45m,13:45 – 22:45,7h 00m,1 stop
221,05:35 – 08:15,4h 40m,08:55 – 01:15+1,14h 20m,1 stop
239,21:40 – 09:10+1,13h 30m,10:20 – 17:40,5h 20m,1 stop
344,13:40 – 16:40,5h 00m,17:10 – 01:15+1,6h 05m,1 stop
336,13:40 – 16:40,5h 00m,13:45 – 22:45,7h 00m,1 stop
281,05:35 – 08:15,4h 40m,14:25 – 01:15+1,8h 50m,1 stop
281,05:35 – 08:15,4h 40m,14:25 – 01:15+1,8h 50m,1 stop
295,13:40 – 17:00,5h 20m,11:15 – 23:55,10h 40m,1 stop
277,17:15 – 18:10,2h 55m,20:45 – 13:40+1,14h 55m,direct
250,11:10 – 16:00,6h 50m,21:05 – 10:50+1,11h 45m,1 stop
336,06:00 – 09:40,5h 40m,13:45 – 22:45,7h 00m,1 stop
273,09:00 – 19:05,12h 05m,08:25 – 16:20,5h 55m,1 stop
361,13:40 – 17:00,5h 20m,18:00 – 01:15+1,5h 15m,1 stop
352,15:30 – 21:25,7h 55m,14:45 – 23:00,6h 15m,1 stop
371,13:40 – 17:00,5h 20m,13:45 – 22:45,7h 00m,1 stop
340,13:40 – 16:40,5h 00m,09:00 – 22:45,11h 45m,1 stop
446,08:05 – 10:45,4h 40m,06:30 – 13:40,5h 10m,1 stop
345,21:50 – 09:20+1,13h 30m,17:00 – 23:35,4h 35m,1 stop
446,08:05 – 13:50,7h 45m,06:30 – 13:40,5h 10m,1 stop
446,08:05 – 16:15,10h 10m,06:30 – 13:40,5h 10m,1 stop
423,02:55 – 11:15,10h 20m,16:35 – 02:05+1,7h 30m,1 stop
464,08:05 – 16:40,10h 35m,06:30 – 13:40,5h 10m,1 stop
456,08:05 – 17:35,11h 30m,06:30 – 13:40,5h 10m,1 stop
464,08:05 – 17:20,11h 15m,06:30 – 13:40,5h 10m,1 stop
455,08:05 – 18:35,12h 30m,06:30 – 13:40,5h 10m,1 stop
679,18:00 – 21:20,5h 20m,06:55 – 14:25,5h 30m,1 stop
687,06:45 – 08:55,4h 10m,14:10 – 23:40,7h 30m,1 stop
679,18:00 – 21:20,5h 20m,14:10 – 23:40,7h 30m,1 stop
634,15:30 – 21:25,7h 55m,11:30 – 23:00,9h 30m,1 stop
687,16:05 – 19:30,5h 25m,14:10 – 23:40,7h 30m,1 stop
687,11:25 – 16:00,6h 35m,14:10 – 23:40,7h 30m,1 stop
679,07:15 – 12:55,7h 40m,14:10 – 23:40,7h 30m,1 stop
687,16:05 – 21:40,7h 35m,14:10 – 23:40,7h 30m,1 stop
770,10:10 – 15:10,7h 00m,10:20 – 17:40,5h 20m,1 stop
770,10:10 – 17:05,8h 55m,10:20 – 17:40,5h 20m,1 stop
770,10:10 – 20:40,12h 30m,10:20 – 17:40,5h 20m,1 stop
858,10:10 – 21:10,13h 00m,10:20 – 17:40,5h 20m,2 stops
